diseases,sintomas,texto
vitreous degeneration,"['eye redness', 'lacrimation', 'double vision', 'diminished vision', 'foreign body sensation in eye', 'spots or clouds in vision', 'pain in eye', 'symptoms of eye']","
    Vitreous degeneration is a condition that may present symptoms such as eye redness, lacrimation, double vision, diminished vision, foreign body sensation in eye, spots or clouds in vision, pain in eye, symptoms of eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vitreous hemorrhage,"['diminished vision', 'lacrimation', 'spots or clouds in vision', 'pain in eye', 'symptoms of eye', 'blindness']","
    Vitreous hemorrhage is a condition that may present symptoms such as diminished vision, lacrimation, spots or clouds in vision, pain in eye, symptoms of eye, blindness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vocal cord polyp,"['difficulty speaking', 'throat swelling', 'throat feels tight', 'sore throat', 'hoarse voice']","
    Vocal cord polyp is a condition that may present symptoms such as difficulty speaking, throat swelling, throat feels tight, sore throat, hoarse voice.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
volvulus,"['depressive or psychotic symptoms', 'elbow weakness', 'sharp abdominal pain', 'vomiting']","
    Volvulus is a condition that may present symptoms such as depressive or psychotic symptoms, elbow weakness, sharp abdominal pain, vomiting.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
von willebrand disease,"['blood in stool', 'muscle swelling', 'nosebleed']","
    Von willebrand disease is a condition that may present symptoms such as blood in stool, muscle swelling, nosebleed.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vulvar cancer,"['insomnia', 'back pain', 'emotional symptoms']","
    Vulvar cancer is a condition that may present symptoms such as insomnia, back pain, emotional symptoms.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vulvar disorder,"['vaginal pain', 'vaginal discharge', 'vaginal itching', 'vulvar irritation', 'skin dryness, peeling, scaliness, or roughness', 'pain during intercourse']","
    Vulvar disorder is a condition that may present symptoms such as vaginal pain, vaginal discharge, vaginal itching, vulvar irritation, skin dryness, peeling, scaliness, or roughness, pain during intercourse.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
vulvodynia,"['sharp abdominal pain', 'pelvic pain', 'vaginal pain', 'vaginal discharge', 'cramps and spasms', 'painful urination', 'pain during pregnancy', 'lower abdominal pain', 'nausea', 'burning abdominal pain', 'back pain', 'side pain']","
    Vulvodynia is a condition that may present symptoms such as sharp abdominal pain, pelvic pain, vaginal pain, vaginal discharge, cramps and spasms, painful urination, pain during pregnancy, lower abdominal pain, nausea, burning abdominal pain, back pain, side pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
wernicke korsakoff syndrome,"['depressive or psychotic symptoms', 'abusing alcohol', 'anxiety and nervousness']","
    Wernicke korsakoff syndrome is a condition that may present symptoms such as depressive or psychotic symptoms, abusing alcohol, anxiety and nervousness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
white blood cell disease,"['fatigue', 'heartburn', 'sharp abdominal pain', 'cough', 'nausea', 'chills', 'diarrhea', 'vomiting', 'fever']","
    White blood cell disease is a condition that may present symptoms such as fatigue, heartburn, sharp abdominal pain, cough, nausea, chills, diarrhea, vomiting, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
whooping cough,"['nasal congestion', 'cough', 'shortness of breath', 'sore throat', 'vomiting']","
    Whooping cough is a condition that may present symptoms such as nasal congestion, cough, shortness of breath, sore throat, vomiting.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
wilson disease,"['insomnia', 'sleepiness', 'cough']","
    Wilson disease is a condition that may present symptoms such as insomnia, sleepiness, cough.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
yeast infection,"['sharp abdominal pain', 'vaginal pain', 'pelvic pain', 'vaginal discharge', 'diaper rash', 'vaginal itching', 'suprapubic pain', 'frequent urination', 'skin rash']","
    Yeast infection is a condition that may present symptoms such as sharp abdominal pain, vaginal pain, pelvic pain, vaginal discharge, diaper rash, vaginal itching, suprapubic pain, frequent urination, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
zenker diverticulum,"['sore throat', 'elbow weakness', 'sharp chest pain']","
    Zenker diverticulum is a condition that may present symptoms such as sore throat, elbow weakness, sharp chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
